GERP_NR	GERP_RS	PhyloP	PhyloM	PhyloV	PhastP	PhastM	PhastV	GC	CpG	EncExp	EncH3K27Ac	EncH3K4Me1	EncH3K4Me3	EncOCCombPVal	EncOCDNasePVal	EncOCFairePVal	EncOCpolIIPVal	EncOCctcfPVal	EncOCmycPVal	EncOCDNaseSig	EncOCFaireSig	EncOCpolIISig	EncOCctcfSig	EncOCmycSig	TFBS	TFBSPeaks	TFBSPeaksMax	cHmmTSSOdds	cHmmTxOdds	cHmmEnhOdds	cHmmZnfOdds	cHmmReprOdds	bStatistic	minDistTSS	minDistTSE
2.57722454632	4.08610586231	0.504303688903	1.62536365341	3.61090299574	3.16587075974	5.88871801569	6.1493325575	0.911882833814	0.97986200347	0.776048526068	1.54763908754	0.876634789405	1.63208594156	1.82875364014	1.69696576499	1.98292573602	1.71179415997	1.02416327273	1.4362294018	1.8389577262	2.149683454	1.82894265232	1.71404173457	1.84643882609	1.54703034712	1.5329105759	1.47181450009	1.62921270491	0.854204018498	1.18718248025	1.30904728736	0.624072419124	-0.499029986957	0.351920874894	-0.319007691209
2.57780389205	4.09376661038	0.506313890591	1.62908952233	3.61306845292	3.16828777227	5.89084485288	6.14897887938	0.911520494227	0.979526826751	0.775258620376	1.54720661776	0.876214604036	1.63159375526	1.82871417664	1.6968994793	1.98296589917	1.7116018473	1.02421413589	1.43611296895	1.83879749503	2.14962599148	1.82870986727	1.7139086857	1.84622835167	1.54697938297	1.53284437343	1.47170136415	1.62840132302	0.853015973869	1.18613094101	1.30790758051	0.623396926817	-0.498527154657	0.351854973451	-0.319204548403
2.57836222029	4.10118496169	0.50826919169	1.63270234817	3.61511048933	3.17093179022	5.8914317426	6.14903975563	0.911153310939	0.979228313665	0.774528726697	1.54678557912	0.875824660063	1.63112684266	1.8286752251	1.69684814694	1.9830052306	1.71143454023	1.02425302061	1.43600302686	1.83864626139	2.14957795856	1.82847779962	1.71379760486	1.84603314132	1.54692437105	1.5327931939	1.47160107882	1.62765983095	0.851914166904	1.18517159988	1.3068301175	0.622759283105	-0.498049129861	0.351792565208	-0.319386085832
2.57892064227	4.10835255735	0.510154816519	1.6361910418	3.61722495003	3.1731776951	5.89347358565	6.14897645329	0.910848579979	0.978928855941	0.773849740277	1.5464049676	0.875451496839	1.63069340372	1.82864606843	1.69679130059	1.98306896007	1.71126978355	1.02429999225	1.43590756614	1.8385113299	2.14953026016	1.82827396543	1.71368858719	1.84585427518	1.54688944926	1.5327493398	1.47149559661	1.62695556452	0.850891055944	1.18426849855	1.30584452815	0.622163452389	-0.497602068307	0.351741863876	-0.319554892167
2.5794580155	4.11529175682	0.511984304098	1.63956798381	3.61930459421	3.17562590522	5.89454048823	6.14948855699	0.910530592289	0.978662102862	0.773213877579	1.54604548326	0.875107716734	1.63028790388	1.82862100959	1.6967364316	1.9831096043	1.71113021998	1.02433912303	1.43580994227	1.83838877234	2.14949757558	1.82808591512	1.71358458583	1.84569203146	1.54684864341	1.53271191949	1.47142308178	1.62630575203	0.849928302747	1.18341783354	1.30491867105	0.621621318365	-0.497193776176	0.351688498876	-0.319717540859
2.57993655328	4.12199422304	0.513759797897	1.64283805193	3.62132326377	3.17764561822	5.89661810142	6.14944349759	0.910255680215	0.978417448884	0.77261654318	1.54572107647	0.87479224058	1.62991299487	1.82859343719	1.69669222033	1.98317354517	1.71099694168	1.02437065051	1.43572630872	1.83826702736	2.14947020465	1.82790753793	1.71350583957	1.84553737146	1.54681986055	1.53267931656	1.47134070973	1.62569059283	0.849028515961	1.18262994906	1.30406185977	0.621093515202	-0.496816856385	0.351648357911	-0.319871739071
2.58045298123	4.1284833704	0.515460460093	1.64600288673	3.62337949682	3.18009315264	5.89760564222	6.15025583877	0.909982765899	0.978193231245	0.772062575349	1.54540077023	0.874487732625	1.62955635038	1.82857398765	1.69664680775	1.98321229726	1.71087678419	1.02440837112	1.43566180103	1.83815789704	2.14944242036	1.82773248773	1.71342062463	1.84540450648	1.54679435005	1.53265732543	1.47127214744	1.62512326161	0.848187788835	1.18189866114	1.30325448264	0.620618509647	-0.496449206973	0.351613944457	-0.320009012608
2.58091117638	4.13475754877	0.517115600049	1.64906419306	3.62541574974	3.18218824158	5.89957144787	6.15065614094	0.909725557334	0.977970846749	0.771534426133	1.54512091692	0.874224255407	1.62922965574	1.82855065044	1.69661800702	1.98327422175	1.71076691017	1.02443978684	1.43559099793	1.83807057181	2.14941486416	1.82757705595	1.71332569091	1.84525910554	1.54677214806	1.53263959074	1.47120216854	1.62460457516	0.847405117855	1.18119004194	1.30249658229	0.620150730562	-0.496115414439	0.351581637945	-0.320145441911
2.58136339724	4.14083145268	0.518713612678	1.6520336527	3.62737579509	3.18444327135	5.90052518953	6.15140213863	0.909493629438	0.977766460674	0.771036205079	1.54485124172	0.873959306409	1.62893430403	1.82853099172	1.69658744626	1.98331374564	1.71066543829	1.02446650659	1.43553819773	1.83796082544	2.14938472324	1.82743822755	1.713249311	1.84513751452	1.54675453587	1.5326215194	1.47114810764	1.62410938989	0.846671723215	1.18055224588	1.30179252666	0.619725494563	-0.495805260749	0.351533948813	-0.32027566352
2.58177834559	4.1467067494	0.520268813069	1.6549045883	3.62933230079	3.18624039444	5.90291046593	6.15161489278	0.909274072435	0.977576020704	0.770588996062	1.54460165594	0.873716152686	1.62865871089	1.82851664569	1.69656253501	1.98337235957	1.71057160086	1.02448967709	1.43547849087	1.83787313109	2.14936467956	1.82730377339	1.71317207404	1.8450062596	1.5467350834	1.53260143099	1.47109902048	1.62364767597	0.845986753311	1.17994777511	1.30113467375	0.619338435425	-0.495514119282	0.35150714238	-0.32039974648
2.58221232504	4.1524044684	0.521766114972	1.65769105751	3.6312356405	3.18851149393	5.90326334411	6.15274159058	0.909066905401	0.977408552387	0.770154387112	1.54436009632	0.873488921913	1.62839279791	1.82850046401	1.69653301543	1.98341032469	1.71048196787	1.0245260508	1.4354340736	1.83779347453	2.1493284061	1.82717835636	1.71310399798	1.84489397042	1.54672170957	1.53258429751	1.47104551088	1.6232159276	0.845340205418	1.17937319405	1.30052490336	0.618957971809	-0.495237582585	0.351480150747	-0.320493933316
